Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,42
design__inferred_latch__count,0
design__instance__count,16428
design__instance__area,58127
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.007852423004806042
power__switching__total,0.00796954520046711
power__leakage__total,9.076649831740724e-08
power__total,0.01582205854356289
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.306631
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.306631
timing__hold__ws__corner:nom_tt_025C_1v80,0.051196
timing__setup__ws__corner:nom_tt_025C_1v80,2.118671
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.398126
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,4.769864
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,84
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,12
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.513222
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.513222
timing__hold__ws__corner:nom_ss_100C_1v60,-0.06864
timing__setup__ws__corner:nom_ss_100C_1v60,-0.360793
timing__hold__tns__corner:nom_ss_100C_1v60,-0.442117
timing__setup__tns__corner:nom_ss_100C_1v60,-0.864582
timing__hold__wns__corner:nom_ss_100C_1v60,-0.06864
timing__setup__wns__corner:nom_ss_100C_1v60,-0.360793
timing__hold_vio__count__corner:nom_ss_100C_1v60,13
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.910025
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,13
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.054501
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.215773
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.215773
timing__hold__ws__corner:nom_ff_n40C_1v95,0.119886
timing__setup__ws__corner:nom_ff_n40C_1v95,2.686299
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.213803
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.526169
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,89
design__max_fanout_violation__count,0
design__max_cap_violation__count,13
clock__skew__worst_hold,-0.203272
clock__skew__worst_setup,-0.546144
timing__hold__ws,-0.102651
timing__setup__ws,-0.659738
timing__hold__tns,-0.903846
timing__setup__tns,-6.722959
timing__hold__wns,-0.102651
timing__setup__wns,-0.659738
timing__hold_vio__count,34
timing__hold_r2r__ws,0.21252
timing__hold_r2r_vio__count,0
timing__setup_vio__count,41
timing__setup_r2r__ws,-0.251506
timing__setup_r2r_vio__count,2
design__die__bbox,0.0 0.0 900.0 900.0
design__core__bbox,5.52 10.88 894.24 886.72
flow__warnings__count,1
flow__errors__count,0
design__io,949
design__die__area,810000
design__core__area,778377
design__instance__count__stdcell,16428
design__instance__area__stdcell,58127
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0746772
design__instance__utilization__stdcell,0.0746772
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,947
design__io__hpwl,500452920
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,319472
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,315
antenna__violating__nets,16
antenna__violating__pins,17
route__antenna_violation__count,16
route__net,5973
route__net__special,2
route__drc_errors__iter:1,2364
route__wirelength__iter:1,343107
route__drc_errors__iter:2,895
route__wirelength__iter:2,342145
route__drc_errors__iter:3,694
route__wirelength__iter:3,341852
route__drc_errors__iter:4,38
route__wirelength__iter:4,341778
route__drc_errors__iter:5,0
route__wirelength__iter:5,341778
route__drc_errors,0
route__wirelength,341778
route__vias,34551
route__vias__singlecut,34551
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1561.83
timing__unannotated_net__count__corner:nom_tt_025C_1v80,5
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,5
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,5
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.288707
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.288707
timing__hold__ws__corner:min_tt_025C_1v80,0.081342
timing__setup__ws__corner:min_tt_025C_1v80,2.239943
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.39631
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,4.956722
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,5
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,53
