Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_321_1924,VGND,li1,891.0200,886.7200,0.000080
FILLER_0_321_1917,VGND,li1,887.5700,886.7200,0.000080
FILLER_0_321_1911,VGND,li1,885.2700,886.7200,0.000079
FILLER_0_321_1903,VGND,li1,881.1300,886.7200,0.000079
FILLER_0_321_1889,VGND,li1,875.3800,886.7200,0.000078
FILLER_0_321_1882,VGND,li1,872.1600,886.7200,0.000077
FILLER_0_321_1877,VGND,li1,869.4000,886.7200,0.000077
FILLER_0_321_1875,VGND,li1,868.2500,886.7200,0.000076
FILLER_0_321_1868,VGND,li1,865.2600,886.7200,0.000075
FILLER_0_321_1861,VGND,li1,862.5000,886.7200,0.000075
FILLER_0_321_1854,VGND,li1,859.2800,886.7200,0.000074
FILLER_0_321_1849,VGND,li1,856.5200,886.7200,0.000073
FILLER_0_321_1847,VGND,li1,855.3700,886.7200,0.000072
FILLER_0_321_1841,VGND,li1,853.0700,886.7200,0.000071
FILLER_0_321_1816,VGND,li1,841.1100,886.7200,0.000064
FILLER_0_321_1812,VGND,li1,839.9600,886.7200,0.000064
FILLER_0_321_1805,VGND,li1,836.7400,886.7200,0.000062
FILLER_0_321_1798,VGND,li1,833.5200,886.7200,0.000059
FILLER_0_321_1793,VGND,li1,830.7600,886.7200,0.000057
FILLER_0_321_1791,VGND,li1,829.6100,886.7200,0.000056
FILLER_0_321_1784,VGND,li1,827.0800,886.7200,0.000053
FILLER_0_321_1777,VGND,li1,823.8600,886.7200,0.000051
FILLER_0_321_1770,VGND,li1,820.6400,886.7200,0.000048
FILLER_0_321_1765,VGND,li1,817.8800,886.7200,0.000046
FILLER_0_321_1763,VGND,li1,816.7300,886.7200,0.000046
FILLER_0_321_1756,VGND,li1,814.2000,886.7200,0.000044
FILLER_0_321_1749,VGND,li1,810.9800,886.7200,0.000041
FILLER_0_321_1743,VGND,li1,807.9900,886.7200,0.000038
FILLER_0_321_1732,VGND,li1,802.4700,886.7200,0.000031
FILLER_0_321_1728,VGND,li1,801.3200,886.7200,0.000031
FILLER_0_321_1723,VGND,li1,798.5600,886.7200,0.000028
FILLER_0_321_1707,VGND,li1,790.9700,886.7200,0.000025
FILLER_0_321_1700,VGND,li1,788.4400,886.7200,0.000028
FILLER_0_321_1681,VGND,li1,779.2400,886.7200,0.000037
FILLER_0_321_1679,VGND,li1,778.0900,886.7200,0.000037
FILLER_0_321_1672,VGND,li1,775.5600,886.7200,0.000039
FILLER_0_321_1653,VGND,li1,766.3600,886.7200,0.000047
FILLER_0_321_1651,VGND,li1,765.2100,886.7200,0.000048
FILLER_0_321_1631,VGND,li1,756.4700,886.7200,0.000054
FILLER_0_321_1567,VGND,li1,726.5700,886.7200,0.000066
FILLER_0_321_1554,VGND,li1,721.0500,886.7200,0.000067
FILLER_0_321_1546,VGND,li1,717.1400,886.7200,0.000067
FILLER_0_321_1541,VGND,li1,714.8400,886.7200,0.000067
FILLER_0_321_1539,VGND,li1,713.6900,886.7200,0.000067
FILLER_0_321_1532,VGND,li1,711.1600,886.7200,0.000067
FILLER_0_321_1510,VGND,li1,700.5800,886.7200,0.000066
FILLER_0_321_1462,VGND,li1,678.9600,886.7200,0.000060
FILLER_0_321_1457,VGND,li1,676.2000,886.7200,0.000058
FILLER_0_321_1455,VGND,li1,675.0500,886.7200,0.000057
FILLER_0_321_1448,VGND,li1,672.5200,886.7200,0.000055
FILLER_0_321_1442,VGND,li1,669.5300,886.7200,0.000053
FILLER_0_321_1434,VGND,li1,666.0800,886.7200,0.000052
FILLER_0_321_1429,VGND,li1,663.3200,886.7200,0.000050
