net,length_um
net948,1.74483mm
_1994_,1.72288mm
_1826_,1.61178mm
net946,1.59602mm
net514,1.5419mm
net947,1.5362mm
_2021_,1.50302mm
_1307_,1.491755mm
_1304_,1.48808mm
net520,1.41708mm
_2013_,1.387855mm
net521,1.37038mm
net945,1.34926mm
_1463_,1.33383mm
net523,1.33272mm
_1825_,1.32458mm
_1539_,1.31355mm
net522,1.30942mm
_1846_,1.28059mm
_1464_,1.27864mm
_1522_,1.27576mm
_1863_,1.264905mm
_1510_,1.26329mm
_1526_,1.25913mm
_1862_,1.25272mm
_2037_,1.24791mm
_1518_,1.24586mm
_1530_,1.242235mm
_1534_,1.23805mm
net944,1.23767mm
_1858_,1.22712mm
_1520_,1.21299mm
_1528_,1.20789mm
_1308_,1.20388mm
_1524_,1.20327mm
_1516_,1.199395mm
_1512_,1.1981mm
_1622_,1.19166mm
_1466_,1.17502mm
_1480_,1.16993mm
_1855_,1.16602mm
_1474_,1.15468mm
_1305_,1.14786mm
_1514_,1.14505mm
_1859_,1.14398mm
_1540_,1.13473mm
_1507_,1.13092mm
_1482_,1.12271mm
_1470_,1.12171mm
_1468_,1.1mm
_1298_,1.07618mm
net943,1.07096mm
_1476_,1.06575mm
_1462_,1.0649mm
_1478_,1.06436mm
_1844_,1.02449mm
_1472_,1.02362mm
_1824_,1.02272mm
_1531_,1.01442mm
clknet_3_0__leaf_aclk,1.00726mm
net488,1.00334mm
_1856_,989.23µm
net902,985.8µm
net901,983.38µm
_1504_,970.21µm
net906,951.18µm
_1623_,945.15µm
net454,938.74µm
_1500_,937.3µm
net519,927.1µm
_1498_,924.12µm
clknet_3_3__leaf_aclk,922.9µm
_1544_,918.42µm
net17,908.78µm
net513,899.3µm
net942,893.52µm
_2016_,889.81µm
_1496_,885.6µm
_1485_,883.84µm
_1502_,873.82µm
clknet_3_1__leaf_aclk,873.51µm
_1494_,872.42µm
net18,868.56µm
_1488_,864.18µm
net545,859.1µm
net518,857.74µm
_1899_,856.29µm
net512,855.6µm
clknet_0_aclk,855.42µm
net900,854µm
_2039_,851.24µm
net899,828.02µm
_1492_,827.14µm
net437,824.28µm
net531,809.02µm
u_response_router.w_target_invalid,808.48µm
net1,807.53µm
net940,804.46µm
net536,799.83µm
_1313_,798.18µm
net511,793.44µm
_2054_,791.7µm
clknet_3_2__leaf_aclk,789.96µm
net515,789.2µm
net516,786.1µm
_1549_,783.78µm
net941,780.58µm
_1847_,777.56µm
net527,767.56µm
_1284_,758.39µm
net398,749.4µm
_1877_,746.535µm
u_read_arbiter.r_target_slave\[0\],744.57µm
net555,743.02µm
u_read_arbiter.r_target_slave\[1\],742.45µm
_1296_,740.65µm
net544,736.38µm
net506,735.34µm
_2055_,731.68µm
net525,729.74µm
net517,729.4µm
_1310_,724.84µm
_1288_,719.64µm
net13,718.6µm
_1588_,714.405µm
net526,710.38µm
_2044_,709.62µm
_1291_,708.42µm
_1581_,704.41µm
net15,704.04µm
net508,702.86µm
_1568_,696.08µm
net11,694.6µm
net530,694.06µm
net14,693.7µm
net16,692.76µm
net939,689.04µm
net181,685.34µm
net548,683.8µm
net674,682.32µm
_1580_,682.22µm
net182,678.14µm
_1448_,675.32µm
net672,673.7µm
_1301_,670.41µm
_1105_,669.32µm
_1053_,668.32µm
net12,664.78µm
net529,661.84µm
_2191_,660.19µm
net438,659.22µm
net510,655.7µm
_1283_,655.59µm
net509,653.16µm
_1998_,651.48µm
net338,651µm
_1042_,648.26µm
net528,647.5µm
net489,647µm
_1584_,645.94µm
net524,645.9µm
net507,643.76µm
net783,640.34µm
net10,638.34µm
_1842_,635.9µm
_2049_,634.86µm
net183,632.34µm
net556,629.92µm
_1299_,628.84µm
net219,627.86µm
_1277_,624.08µm
_1057_,619.2µm
net107,618.48µm
_2065_,615.68µm
_1822_,614.76µm
_2060_,613.98µm
_2004_,611.77µm
net189,610.85µm
_1036_,607.12µm
_1457_,605.76µm
clknet_3_6__leaf_aclk,596.98µm
aclk,595.67µm
_1039_,595.06µm
net439,594.9µm
_1311_,594.28µm
net192,591.78µm
_1853_,588.94µm
_1052_,587.92µm
net222,587.66µm
clknet_3_4__leaf_aclk,587.62µm
net235,582.14µm
net782,578.7µm
_1535_,568.74µm
_1040_,564.135µm
net435,563.68µm
net613,560.76µm
_1616_,556µm
_1047_,555.7µm
_2028_,553.96µm
_0617_,553.9µm
_1450_,552.72µm
net248,551.64µm
_1845_,548.31µm
_2091_,547.525µm
net497,547.1µm
_1621_,544.79µm
net184,544.16µm
_1302_,542.73µm
_1451_,542.38µm
_2079_,537.88µm
net244,537.24µm
_2183_,531.64µm
net247,529.28µm
net190,528.48µm
_2073_,527.62µm
net604,526.74µm
net227,521.76µm
net224,517.87µm
net249,517.04µm
_1979_,514.52µm
net784,514.18µm
net786,513µm
net241,512.28µm
_1132_,510.48µm
net187,502.46µm
net756,501.48µm
net139,496.66µm
net250,495.2µm
_2186_,494.58µm
net251,487.32µm
net232,486.18µm
_1827_,485.94µm
_1314_,485.6µm
net735,484.18µm
_1887_,478.52µm
net755,474.82µm
net243,473.84µm
net626,472.14µm
net246,469.02µm
_1881_,468.055µm
_1900_,467.68µm
clknet_3_5__leaf_aclk,467.36µm
_2084_,465.88µm
net615,465.48µm
net234,458.28µm
net608,457.9µm
_1911_,453.12µm
net933,452.32µm
net379,445.98µm
_2832_,442.36µm
net938,437.22µm
net108,434.6µm
net159,434.16µm
net252,430.2µm
net905,429.92µm
net611,429.34µm
